type,timestamp,source,event,event_type,entity_type,time_bucket,size_category,log_ip,destination,src_port,dst_port,length,level,pid
log,2008-11-09T20:36:15,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_38865049064139660 terminating,packet_response,system,20,,,,,,,INFO,148
log,2008-11-09T20:38:07,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-6952295868487656571 terminating,packet_response,system,20,,,,,,,INFO,222
log,2008-11-09T20:40:05,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,block_update,system,20,,10.251.73.220,,,,,INFO,35
log,2008-11-09T20:40:15,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_8229193803249955061 terminating,packet_response,system,20,,,,,,,INFO,308
log,2008-11-09T20:41:06,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-6670958622368987959 terminating,packet_response,system,20,,,,,,,INFO,329
log,2008-11-09T20:41:32,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,block_update,system,20,,10.251.43.115,,,,,INFO,26
log,2008-11-09T20:43:24,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,block_update,system,20,,10.251.203.80,,,,,INFO,34
log,2008-11-09T20:44:53,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,block_update,system,20,,10.250.11.85,,,,,INFO,34
log,2008-11-09T20:45:25,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_572492839287299681 terminating,packet_response,system,20,,,,,,,INFO,512
log,2008-11-09T20:46:55,dfs.DataNode$PacketResponder,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,block_transfer,system,20,,10.251.42.84,,,,,INFO,556
log,2008-11-09T20:47:22,dfs.DataNode$PacketResponder,Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,block_transfer,system,20,,10.251.214.112,,,,,INFO,567
log,2008-11-09T20:48:15,dfs.DataNode$DataXceiver,Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,block_transfer,system,20,,10.251.30.6,,,,,INFO,653
log,2008-11-09T20:48:42,dfs.DataNode$DataXceiver,Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,block_transfer,system,20,,10.251.111.130,,,,,INFO,663
log,2008-11-09T20:49:08,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,block_update,system,20,,10.251.110.8,,,,,INFO,31
log,2008-11-09T20:49:25,dfs.DataNode$DataXceiver,Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,block_transfer,system,20,,10.251.75.228,,,,,INFO,673
log,2008-11-09T20:50:35,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,system_event,system,20,,,,,,,INFO,28
